"_col0","title","type","address","city","state","postalcode","country","region","latitude","longitude","isopening","rundate"
"dc19805","Nattermann's Fine Dining","destination charger","Bahnhofstrasse 12, 53560 Vettelschoss, Germany","Vettelschoss","","53560","Germany","europe","50.615644","7.313219","false","2022-09-05 12:05:22 PDT"
"dc535699","Parador Phillips 66","destination charger","Carretera Federal 45 Sauz Chihuahua, Chihuahua 31620","Chihuahua","Chihuahua","31620","Mexico","north_america","29.049592","-106.328074","false","2022-09-05 12:05:22 PDT"
"brightonuk","Brighton","sales representative","","Brighton","","","United Kingdom","europe","50.837397","-0.1762293","false","2022-09-05 12:05:22 PDT"
"dc18538","Fiesta Americana Monterrey Pabellon","destination charger","Avenida Presidente Benito Juarez Oriente 1102  Centro Monterrey, Nuevo Leon 64000","Monterrey","Nuevo Leon","64000","Mexico","north_america","25.665314","-100.317098","false","2022-09-05 12:05:22 PDT"
"dc20844","Qbic Hotel London City","destination charger","42 Adler Street,  London,  E1 1EE United Kingdom","London","","E1 1EE","United Kingdom","europe","51.516146","-0.06752","false","2022-09-05 12:05:22 PDT"
"dc18525","Patio Claveria","destination charger","Calle Egipto 142 Claveria Azcapotzalco, Ciudad de Mexico 02080","Azcapotzalco","Ciudad de Mexico","2080","Mexico","north_america","19.464028","-99.181805","false","2022-09-05 12:05:22 PDT"
"baselstalban","Basel-St. Alban","store","St. Alban-Graben 1 4051 Basel","Basel","ZH","4051","Switzerland","europe","47.554089","7.592187","false","2022-09-05 12:05:22 PDT"
"dc20839","Ledro Mountain Chalets","destination charger","Loc. Val Molini , Bezzecca, , 38067 Ledro, Italy","Ledro","","38067","Italy","europe","45.899817","10.705219","false","2022-09-05 12:05:22 PDT"
"dc19841","Hotel Belvedere","destination charger","Via Pichl , 15, 39050 San Genesio, Italy","San Genesio","","39050","Italy","europe","46.530736","11.340308","false","2022-09-05 12:05:22 PDT"
"dc18512","Landhaus Kügler - Eppich","destination charger","Koellach 53, 8712 Proleb, Austria","Proleb","","8712","Austria","europe","47.399939","15.158558","false","2022-09-05 12:05:22 PDT"
"dc19849","Hotel Gassenhof","destination charger","Untere Gasse 13","Ridnaun","","39040","Italy","europe","46.900732","11.318828","false","2022-09-05 12:05:22 PDT"
"dc18518","Au Grès des Ouches","destination charger","2 Grande Rue, Morogues,  18220 France","Morogues","","18220","France","europe","47.240838","2.598172","false","2022-09-05 12:05:22 PDT"
"plovdivsupercharger","Plovdiv Supercharger","supercharger","ul. ""Lev Tolstoy"" 6 4017 Plovdiv Bulgaria","Plovdiv","","4017","Bulgaria","europe","42.144727","24.768828","false","2022-09-05 12:05:22 PDT"
"dc20821","Grand Mercure Allegra Hervey Bay","destination charger","468 The Esplanade Hervey Bay QLD 4655","Hervey Bay","","QLD 4655","Australia","asia_pacific","-25.283167","152.880403","false","2022-09-05 12:05:22 PDT"
"dc1998","Sand Pebbles Inn","destination charger","6252 Moonstone Beach Dr Cambria, CA 93428","Cambria","CA","93428","United States","north_america","35.573683","-121.112315","false","2022-09-05 12:05:22 PDT"
"dc17233","drivingcamp Hungary","destination charger","1 Drivingcamp ut, Zsambek,  2072 Hungary","Zsambek","","2072","Hungary","europe","47.517493","18.732786","false","2022-09-05 12:05:22 PDT"
"dc19896","Kona Kai Resort and Spa","destination charger","1551 Shelter Island Dr San Diego, California 92106","San Diego","California","92106","United States","north_america","32.70937","-117.232073","false","2022-09-05 12:05:22 PDT"
"dc19897","Ez Cruise Parking","destination charger","2727 Santa Fe Pl Galveston, Texas 77550","Galveston","Texas","77550","United States","north_america","29.305229","-94.798922","false","2022-09-05 12:05:22 PDT"
"dc29218","Sea Lord Hotel and Beachclub","destination charger","4140 El Mar Dr Lauderdale-by-the-Sea, Florida 33308","Lauderdale-by-the-Sea","Florida","33308","United States","north_america","26.1852677","-80.0958898","false","2022-09-05 12:05:22 PDT"
"dc30248","Agriturismo San Francesco","destination charger","Localita' Brolio, 68, 52043 Castiglion Fiorentino, Italy","Castiglion Fiorentino","","52043","Italy","europe","43.267189","11.851423","false","2022-09-05 12:05:22 PDT"
"dc31572","Hôtel Akena Dol de Bretagne","standard charger","28  rue de la Rouelle, PA les rolandieres, Dol de bretagne,  35120 France","Dol de bretagne","","35120","France","europe","48.550872","-1.719549","false","2022-09-05 12:05:22 PDT"
"dc17230","Clarion Congress Hotel Ostrava","destination charger","Zkracena  2703, 70030 Ostrava, Czech Republic","Ostrava","","70030","Czech Republic","europe","49.80338","18.251217","false","2022-09-05 12:05:22 PDT"
"dc20876","Hotel Alpen Tesitin","destination charger","Unterrainerstrasse  , 22, 39035 Taisten , Italy","Taisten","","39035","Italy","europe","46.767186","12.102934","false","2022-09-05 12:05:22 PDT"
"dc30258","The Angel Hotel","destination charger","The Angel Hotel Cross Street, Monmouth,  NP7 5EN United Kingdom","Monmouth","","NP7 5EN","United Kingdom","europe","51.821228","-3.017742","false","2022-09-05 12:05:22 PDT"
"dc17217","The Sebel Pinnacle Valley","destination charger","1 Mimosa Dr Merrijig VIC 3724","Merrijig","","VIC 3724","Australia","asia_pacific","-37.10881","146.337112","false","2022-09-05 12:05:22 PDT"
"dc17212","De Watermolen","destination charger","Houtum 61 , 2460 Kasterlee, Belgium","Kasterlee","","2460","Belgium","europe","51.228766","4.978059","false","2022-09-05 12:05:22 PDT"
"dc18545","Grand Fiesta Americana Coral Beach Cancun","destination charger","Blvd. Kukulkan Km 9.5 Zona Hotelera Cancun, Quintana Roo 77500","Cancun","Quintana Roo","77500","Mexico","north_america","21.135493","-86.745043","false","2022-09-05 12:05:22 PDT"
"dc19876","Albergo al Sole - Small Luxury Hotel of the World","standard charger","Via Collegio, 33, 31011 Asolo, Italy","Asolo","","31011","Italy","europe","45.802941","11.913634","false","2022-09-05 12:05:22 PDT"
"dc19879","Alexander House Hotel","destination charger","Alexander House Hotel,  East Street, Turners Hill,  RH10 4QD United Kingdom","Turners Hill","","RH10 4QD","United Kingdom","europe","51.107856","-0.066426","false","2022-09-05 12:05:22 PDT"
"dc55539","One&Only Royal Mirage Dubai","destination charger","West Crescent, Palm Jumeirah, Dubai,  114843 United Arab Emirates","Dubai","","114843","United Arab Emirates","middle_east","25.099428","55.133462","false","2022-09-05 12:05:22 PDT"
"dc56811","Hotel Baltaci Atrium","destination charger","Lesetin II/651, 76001 Zlin, Czech Republic","Zlin","","76001","Czech Republic","europe","49.228538","17.673764","false","2022-09-05 12:05:22 PDT"
"dc17295","Hotel Gutshaus Stellshagen","destination charger","Lindenstrasse 1, 23948 Stellshagen, Germany","Stellshagen","","23948","Germany","europe","53.946376","11.141682","false","2022-09-05 12:05:22 PDT"
"dc56819","Hotel Luis","destination charger","Landshuterstrasse 24, 93047 Regensburg, Germany","Regensburg","","93047","Germany","europe","49.013987","12.107407","false","2022-09-05 12:05:22 PDT"
"dc56815","Pracharna - hotel & restaurant","destination charger","Krelovska 91, 779 00 Olomouc, Czech Republic","Olomouc","","779 00","Czech Republic","europe","49.607805","17.216171","false","2022-09-05 12:05:22 PDT"
"dc56801","Ferienhof Altglobsow","destination charger","Seestrasse 11b, 16775 Grosswoltersdorf, Germany","Grosswoltersdorf","","16775","Germany","europe","53.131552","13.116343","false","2022-09-05 12:05:22 PDT"
"dc56805","Wanderhotel Gassner","destination charger","Hadergasse 167, 5741 Neukirchen a. Gr./Ven., Austria","Neukirchen a. Gr./Ven.","","5741","Austria","europe","47.254184","12.271526","false","2022-09-05 12:05:22 PDT"
"dc32864","Rapidpark 920 Park Avenue","destination charger","920 Park Ave New York, New York 10025","New York","New York","10025","United States","north_america","40.776574","-73.96047","false","2022-09-05 12:05:22 PDT"
"dc17267","Hotel & Spa Le Dahu","standard charger","293 Chemin du Mas Metout, Morzine 74110 France","Morzine","","74110","France","europe","46.183695","6.707521","false","2022-09-05 12:05:22 PDT"
"dc54275","Brinkley Resort","destination charger","43 Barkers Road Methven  7730","Methven","","7730","New Zealand","asia_pacific","-43.629687","171.650656","false","2022-09-05 12:05:22 PDT"
"gutzkowsupercharger","Gützkow Supercharger","supercharger","3 Am Kleinbahnhof  Gützkow 17506 Germany","Gützkow","MV","17506","Germany","europe","53.943943","13.396739","false","2022-09-05 12:05:22 PDT"
"northbaysupercharger","North Bay, ON Supercharger","supercharger","890 McKeown Avenue North Bay, Ontario Canada P1B 8M1","North Bay","ON","P1B 8M1","Canada","north_america","46.33226","-79.470873","false","2022-09-05 12:05:22 PDT"
"sokchogangwondosupercharger","속초 수퍼 차저","supercharger","강원도 속초시 대포항길 186","속초시","","","South Korea","asia_pacific","38.180856","128.611593","false","2022-09-05 12:05:22 PDT"
"tuscaloosasupercharger","Tuscaloosa, AL","supercharger","","Tuscaloosa","AL","","United States","north_america","33.175206","-87.450309","false","2022-09-05 12:05:22 PDT"
"dc17299","Das Schloss an der Eisenstrasse","destination charger","Am Schlossplatz  1, 3340 Waidhofen an der Ybbs, Austria","Waidhofen an der Ybbs","","3340","Austria","europe","47.962856","14.775617","false","2022-09-05 12:05:22 PDT"
"yorkpasupercharger","York, PA Supercharger","supercharger","160 Leader Heights Road York, Pennsylvania United States 17403","York","PA","17403","United States","north_america","39.910429","-76.700866","false","2022-09-05 12:05:22 PDT"
"dc31598","Auberge du Mehrbächel","destination charger","72 Mehrbachel, Saint-Amarin,  68550 France","Saint-Amarin","","68550","France","europe","47.89204","7.046411","false","2022-09-05 12:05:22 PDT"
"dc42242","Dartmouth House","destination charger","215 Dartmouth St Rochester, New York 14607","Rochester","New York","14607","United States","north_america","43.145031","-77.58624","false","2022-09-05 12:05:22 PDT"
"rawlinssupercharger","Rawlins Supercharger","supercharger","2370 E Cedar St. Rawlins, Wyoming United States 82301-6026","Rawlins","WY","82301-6026","United States","north_america","41.790874","-107.210254","false","2022-09-05 12:05:22 PDT"
"dc67540","Holiday Inn Express & Suites Portland Airport","destination charger","9189 NE Cascade Pkwy Portland, Oregon 97220","Portland","","97220","United States","north_america","45.57809","-122.56863","false","2022-09-05 12:05:22 PDT"
"dc80529","El Corte Ingles","standard charger","Carrer del Pintor Maella 37, 46023 Valencia, Spain","Valencia","","46023","Spain","europe","39.456902","-0.347138","false","2022-09-05 12:05:22 PDT"
"dc81856","Vilalara Thalassa Resort","destination charger","Praia das Gaivotas s/n, 8400-450 Alporchinhos, Porches, Portugal","Alporchinhos, Porches","","8400-450","Portugal","europe","37.100577","-8.379336","false","2022-09-05 12:05:22 PDT"
"dc19904","Hotel Nizuc Cancun","destination charger","Blvd Kukulkan Mz 59 Lote 1-01 Km 21.26, Nizuc Cancun, Quintana Roo 77500","Cancun","Quintana Roo","77500","Mexico","north_america","21.033887","-86.789182","false","2022-09-05 12:05:22 PDT"
"indiocaliforniasupercharger","Indio Supercharger","supercharger","Indio Towne Center 42100  Jackson St Indio, CA 92203","Indio","CA","92203","United States","north_america","33.741291","-116.215029","false","2022-09-05 12:05:22 PDT"
"dc42247","Villa Appiani","destination charger","via Sala, 17, 20056 Trezzo sull'Adda, Italy","Trezzo sull'Adda","","20056","Italy","europe","45.609455","9.522769","false","2022-09-05 12:05:22 PDT"
"dc81854","The Lake Spa Resort","destination charger","Praia da Falesia - Apartado 811 s/n, 8126-910 Quarteira, Portugal","Quarteira","","8126-910","Portugal","europe","37.078917","-8.126463","false","2022-09-05 12:05:22 PDT"
"dc43571","The Colony ER Hospital","destination charger","4780 State Hwy 121 The Colony, Texas 75056","The Colony","Texas","75056","United States","north_america","33.066176","-96.885284","false","2022-09-05 12:05:22 PDT"
"dc42245","Hilton Garden Inn Reno","destination charger","Av. Lic. Enrique Ramírez Miguel 701, Las Américas, 58270 Morelia, Mich., Mexico","Reno","Nevada","89521","United States","north_america","39.44027","-119.758341","false","2022-09-05 12:05:22 PDT"
"dc81861","Hotel Belvedere","standard charger","Tirrena Inferiore, SS18, 87021  Belvedere Marittimo (CS), Italy","Belvedere Marittimo (CS)","","87021","Italy","europe","39.63582","15.843124","false","2022-09-05 12:05:22 PDT"
"niortsupercharger","Niort","supercharger","","Niort","","","France","europe","46.298316","-0.37511","false","2022-09-05 12:05:22 PDT"
"glendalesupercharger","Glendale, CA Supercharger","supercharger","899 Americana Way Glendale, California United States 91210","Glendale","CA","91210","United States","north_america","34.145132","-118.257249","false","2022-09-05 12:05:22 PDT"
"wilmingtonsupercharger","Wilmington Supercharger","supercharger","6835 Conservation Way  Wilmington, North Carolina  United States 28405-4191","Wilmington","NC","28405-4191","United States","north_america","34.240825","-77.829189","false","2022-09-05 12:05:22 PDT"
"dc54243","City of Jesup","destination charger","101  SW Broad St Jesup, Georgia 31545","Jesup","Georgia","31545","United States","north_america","31.605","-81.883056","false","2022-09-05 12:05:22 PDT"
"dc32878","Quality Inn - Redwoods Area","destination charger","1209 4th St Eureka, California 95501","Eureka","California","95501","United States","north_america","40.804184","-124.158086","false","2022-09-05 12:05:22 PDT"
"dc31546","Arlington Resort Hotel & Spa","destination charger","239 Central Ave Hot Springs National Park, Arkansas 71901","Hot Springs National Park","Arkansas","71901","United States","north_america","34.5165656","-93.0531945","false","2022-09-05 12:05:22 PDT"
"pearlsupercharger","Pearl, MS Supercharger","supercharger","200 Bass Pro Drive  Pearl, Mississippi  United States 39208","Pearl","MS","39208","United States","north_america","32.274159","-90.151048","false","2022-09-05 12:05:22 PDT"
"klamathfallssupercharger","Klamath Falls Supercharger","supercharger","2655 Shasta Way Klamath Falls, Oregon United States 97603-4455","Klamath Falls","OR","97603-4455","United States","north_america","42.216915","-121.75635","false","2022-09-05 12:05:22 PDT"
"dc20931","Golf La Roqueta","destination charger","Ctra. Abrera a Manresa C-55, Km 24, 08289 Castellgali, Spain","Castellgali","","8289","Spain","europe","41.685737","1.835655","false","2022-09-05 12:05:22 PDT"
"dc20932","Røisheim Hotell","destination charger","Sognefjellsvegen 1526 , 2687 Lom, Norway","Lom","","2687","Norway","europe","61.749457","8.384848","false","2022-09-05 12:05:22 PDT"
"dc32926","Hampton Inn & Suites Warrington","destination charger","201 Metro Dr Warrington, Pennsylvania 18976","Warrington","Pennsylvania","18976","United States","north_america","40.2165951","-75.137799","false","2022-09-05 12:05:22 PDT"
"dc32928","Motel 6","destination charger","11406 U.S. 250 N Milan, Ohio 44846","Milan","Ohio","44846","United States","north_america","41.3291153","-82.6206529","false","2022-09-05 12:05:22 PDT"
"brooklynnysupercharger","Brooklyn, NY - Brooklyn Museum Supercharger","supercharger","878 Washington Avenue Brooklyn, New York United States 11225","Brooklyn","NY","11225","United States","north_america","40.669936","-73.963069","false","2022-09-05 12:05:22 PDT"
"dc20929","Château de Noirieux","destination charger","26 route du Moulin, Briollay,  49125 France","Briollay","","49125","France","europe","47.576964","-0.469936","false","2022-09-05 12:05:22 PDT"
"dc20920","Fiesta Inn Ecatepec","destination charger","Av. 1ro. de Mayo s/n Conjunto Urbano Las Americas Ecatepec de Morelos, Estado de Mexico 55076","Ecatepec de Morelos","Estado de Mexico","55076","Mexico","north_america","19.582665","-99.024729","false","2022-09-05 12:05:22 PDT"
"dc32942","The White Hart - Sherington","destination charger","1 Gun Lane, Sherington,  mk169p United Kingdom","Sherington","","mk169p","United Kingdom","europe","52.112144","-0.69978","false","2022-09-05 12:05:22 PDT"
"dc20917","Fiesta Inn Cuautitlan","destination charger","Av. Chalma Esq. Autopista Mexico-Queretaro Lote 8 Jardines de la Hacienda Norte Cuautitlan Izcalli, Estado de Mexico 54700","Cuautitlan Izcalli","Estado de Mexico","54700","Mexico","north_america","19.671312","-99.201024","false","2022-09-05 12:05:22 PDT"
"dc56905","Gl. Skovridergaard Hotel & Konferencecenter","destination charger","Marienlundsvej 36 , 8600 Silkeborg, Denmark","Silkeborg","","8600","Denmark","europe","56.15652","9.556231","false","2022-09-05 12:05:22 PDT"
"dc1838","Renaissance Charleston Historic District","destination charger","68 Wentworth St Charleston, SC 29401","Charleston","SC","29401","United States","north_america","32.782707","-79.933428","false","2022-09-05 12:05:22 PDT"
"giddingstxsupercharger","Giddings, TX Supercharger","supercharger","3025 East Austin Street Giddings, Texas United States 78942","Giddings","TX","78942","United States","north_america","30.178951","-96.907021","false","2022-09-05 12:05:22 PDT"
"milescitymtsupercharger","Miles City, MT Supercharger","supercharger","1815 South Haynes Avenue Miles City, Montana 59301","Miles City","MT","59301","United States","north_america","46.390473","-105.82276","false","2022-09-05 12:05:22 PDT"
"dc17325","Hôtel Le Bellevue","destination charger","12 Rue du Général Leclerc, Villerville,  14113 France","Villerville","","14113","France","europe","49.401652","0.130697","false","2022-09-05 12:05:22 PDT"
"dc17323","Hôtel Husseren-les-Châteaux","destination charger","rue du Schlossberg, Husseren-les-Châteaux,  68420 France","Husseren-les-Châteaux","","68420","France","europe","48.035015","7.276013","false","2022-09-05 12:05:22 PDT"
"dc19990","Landgasthof zum schwarzen Adler","destination charger","Ulsenheim 97, 91478 Markt Nordheim, Germany","Markt Nordheim","","91478","Germany","europe","49.558735","10.297943","false","2022-09-05 12:05:22 PDT"
"dc19992","Hilton Garden Inn Tampa Suncoast Parkway","destination charger","2155 NorthPointe Pkwy Lutz, Florida 33558","Lutz","Florida","33558","United States","north_america","28.189155","-82.540006","false","2022-09-05 12:05:22 PDT"
"dc20972","Svarstad Camping og Hyttegrend","destination charger","Alpinveien 1, 3275 Svarstad, Norway","Svarstad","","3275","Norway","europe","59.396442","9.931859","false","2022-09-05 12:05:22 PDT"
"dc29308","AMERON Hotel Regent","destination charger","Melatenguertel 15, 50933 Koeln, Germany","Koeln","","50933","Germany","europe","50.9384697","6.908944","false","2022-09-05 12:05:22 PDT"
"dc1893","Lakehouse Hotel & Resort","destination charger","1025 La Bonita Dr San Marcos, CA 92078","San Marcos","CA","92078","United States","north_america","33.125037","-117.208168","false","2022-09-05 12:05:22 PDT"
"dc1891","The Inn at Christmas Place","destination charger","119 Christmas Tree Ln Pigeon Forge, TN 37863","Pigeon Forge","TN","37863","United States","north_america","35.809438","-83.576405","false","2022-09-05 12:05:22 PDT"
"dc17319","Rockhampton Car Park","destination charger","164 Quay St Rockhampton QLD 4700","Rockhampton","","QLD 4700","Australia","asia_pacific","-23.376426","150.513458","false","2022-09-05 12:05:22 PDT"
"dc17314","Sydney Motorsports Park","destination charger","1 Ferrers Rd Eastern Creek NSW 2766","Eastern Creek","","NSW 2766","Australia","asia_pacific","-33.80382455","150.867729","false","2022-09-05 12:05:22 PDT"
"dc18642","Hotel Maison Bras","destination charger","Route de l'Aubrac, Laguiole,  12210 France","Laguiole","","12210","France","europe","44.67859","2.899213","false","2022-09-05 12:05:22 PDT"
"dc18643","Lindner Congress Hotel Frankfurt","destination charger","Bolongarostrasse 100, 65929 Frankfurt am Main, Germany","Frankfurt am Main","","65929","Germany","europe","50.102058","8.553378","false","2022-09-05 12:05:22 PDT"
"whiteriversupercharger","White River, ON Supercharger","supercharger","17 Trans-Canada Highway White River, Ontario Canada P0N 3G0","White River","ON","P0N 3G0","Canada","north_america","48.591881","-85.272325","false","2022-09-05 12:05:22 PDT"
"dc17304","Mondo Nougat","destination charger","640 Great Northern Rd Herne Hill QLD 6056","Herne Hill","","QLD 6056","Australia","asia_pacific","-31.837301","116.016533","false","2022-09-05 12:05:22 PDT"
"dc19970","Cuatro Cuatros","destination charger","El Tigre , Carretera libre Tijuana-Ensenada Km. 89  El Sauzal de Rodriguez Ensenada, Baja California 22760","Ensenada","Baja California","22760","Mexico","north_america","31.942872","-116.736403","false","2022-09-05 12:05:22 PDT"
"kearnysupercharger","Kearny, NJ Supercharger","supercharger","200 Harrison Avenue Kearny, New Jersey United States 07032","Kearny","NJ","7032","United States","north_america","40.749014","-74.135578","false","2022-09-05 12:05:22 PDT"
"dc18637","RapidPark 600 Columbus Ave","destination charger","600 Columbus Ave New York, New York 10128","New York","New York","10128","United States","north_america","40.78859","-73.97118","false","2022-09-05 12:05:22 PDT"
"dc20944","Walmart Alfredo del Mazo","destination charger","Blvd Alfredo del Mazo 503 Jardines de Tlacopa Toluca de Lerdo, Estado de Mexico 50071","Toluca de Lerdo","Estado de Mexico","50071","Mexico","north_america","19.307761","-99.633949","false","2022-09-05 12:05:22 PDT"
"dc534419","Hotel Diplomat Palace","standard charger","Viale Regina Elena 70 47921 Rimini Italy","Rimini","","47921","Italy","europe","44.055283","12.594683","false","2022-09-05 12:05:22 PDT"
"dc56978","Ilonn Boutique","destination charger","Limanowskiego 15, 60-744 Poznan, Poland","Poznan","","60-744","Poland","europe","52.397273","16.897631","false","2022-09-05 12:05:22 PDT"
"dc54311","La Posada del Buen Camino","destination charger","Calle de la Cruz, 2, 49708 Villanueva de Campean, Spain","Villanueva de Campean","","49708","Spain","europe","41.354917","-5.76976","false","2022-09-05 12:05:22 PDT"
"dc16025","Conscious Hotel Vondelpark","destination charger","Overtoom 519 , 1054 LH Amsterdam, Netherlands","Amsterdam","","1054 LH","Netherlands","europe","52.357784","4.856549","false","2022-09-05 12:05:22 PDT"
"dc31680","San Barbato Resort, Spa & Golf","destination charger","Strada Statale 93  , Km 56,300, 85024 Lavello, Italy","Lavello","","85024","Italy","europe","41.035775","15.771677","false","2022-09-05 12:05:22 PDT"
"dc31681","Innside by Melia Muenchen Parkstadt Schwabing","destination charger","Mies-van-der-Rohe-Strasse 10, 80807 Muenchen, Germany","Muenchen","Bayern","80807","Germany","europe","48.177006","11.593035","false","2022-09-05 12:05:22 PDT"
"dc17363","Domaine de Rochevilaine","destination charger","Pointe de Penlan, Billiers 56190 France","Billiers","","56190","France","europe","47.514587","-2.501088","false","2022-09-05 12:05:22 PDT"
"dc28001","Il Borro Relais & Chateaux","destination charger","Localita' Borro, 1, 52024 San Giustino Valdarno, Italy","San Giustino Valdarno","","52024","Italy","europe","43.541879","11.714976","false","2022-09-05 12:05:22 PDT"
"dc17337","Starhotels Rosa Grand","destination charger","Piazza Fontana3   20122 Milano  Italy","Milano","Lombardia","20122","Italy","europe","45.463815","9.193981","false","2022-09-05 12:05:22 PDT"
"dc54328","Barona Resort and Casino","destination charger","1932 Wildcat Canyon Rd Lakeside, California 92040","Lakeside","","92040","United States","north_america","32.939979","-116.873918","false","2022-09-05 12:05:22 PDT"
"dc31631","Geoffrey's Malibu","destination charger","27400 Coast Hwy Malibu, CA 90265","Malibu","CA","90265","United States","north_america","34.025182","-118.769613","false","2022-09-05 12:05:22 PDT"
"dc30302","Lewis & Clark College","destination charger","0615 SW Palatine Hill Rd Lake Oswego, Oregon 97219","Lake Oswego","Oregon","97219","United States","north_america","45.447334","-122.670041","false","2022-09-05 12:05:22 PDT"
"dc56939","Sleep Inn & Suites Tampa","destination charger","6231 S Dale Mabry Hwy Tampa, Florida 33611","Tampa","Florida","33611","United States","north_america","27.87655","-82.506961","false","2022-09-05 12:05:22 PDT"
"dc1828","Hampton Inn & Suites Reno West","destination charger","900  Ambassador Dr Reno, NV 89523","Reno","NV","89523","United States","north_america","39.516978","-119.888626","false","2022-09-05 12:05:22 PDT"
"dc1825","Marina del Rey Marriott","destination charger","4100 Admiralty Way Marina del Rey, CA 90292","Marina del Rey","CA","90292","United States","north_america","33.982146","-118.459493","false","2022-09-05 12:05:22 PDT"
"dc1822","Las Vegas Marriott","destination charger","325 Convention Center Dr Las Vegas, NV 89109","Las Vegas","NV","89109","United States","north_america","36.132303","-115.157647","false","2022-09-05 12:05:22 PDT"
"dc1820","Hyatt Place Reno Tahoe Airport","destination charger","1790 E Plumb Ln Reno, Nevada 89502","Reno","Nevada","89502","United States","north_america","39.504449","-119.779649","false","2022-09-05 12:05:22 PDT"
"dc29385","Domaine du Château de Meursault","destination charger","5 Rue du Moulin Foulot, Meursault,  21190 France","Meursault","","21190","France","europe","46.974105","4.773258","false","2022-09-05 12:05:22 PDT"
"dc28052","Ronco Calino","destination charger","Via Fenice, 45, 25030 Adro, Italy","Adro","","25030","Italy","europe","45.600081","10.000733","false","2022-09-05 12:05:22 PDT"
"dc31642","Holiday Inn Express Hotel & Suites Atlanta Fairburn","destination charger","7905 Senoia Rd Fairburn, Georgia 30213","Fairburn","Georgia","30213","United States","north_america","33.540727","-84.5782672","false","2022-09-05 12:05:22 PDT"
"dc28053","SpringHill Suites by Marriott Old Montreal","destination charger","445 Rue Saint Jean Baptiste Montreal, Quebec H2Y 2Z7","Montreal","Quebec","H2Y 2Z7","Canada","north_america","45.506477","-73.554385","false","2022-09-05 12:05:22 PDT"
"dc584577","輕風日和民宿","destination charger","950 台東縣台東市北安路52巷118號","台東市","","","Taiwan","asia_pacific","22.794844","121.128507","false","2022-09-05 12:05:22 PDT"
"dc17397","Torre MIL","destination charger","Av. de las Americas 1500 Country Club Guadalajara, Jalisco 44610","Guadalajara","Jalisco","44610","Mexico","north_america","20.697882","-103.373736","false","2022-09-05 12:05:22 PDT"
"dc44955","Queen's University - Tindall Underground Garage","destination charger","142 Union St W Kingston, Ontario K7L 2P3","Kingston","Ontario","K7L 2P3","Canada","north_america","44.226901","-76.498843","false","2022-09-05 12:05:22 PDT"
"dc1818","Dolphin Bay Resort & Spa","destination charger","2727 Shell Beach Rd Pismo Beach, California 93449","Pismo Beach","California","93449","United States","north_america","35.164407","-120.689728","false","2022-09-05 12:05:22 PDT"
"dc28049","Saint Tropez wellness Village and Spa","standard charger","Corso Risorgimento, 50, 28010 Caltignaga , Italy","Caltignaga","","28010","Italy","europe","45.525895","8.585776","false","2022-09-05 12:05:22 PDT"
"bursasupercharger","Bursa","supercharger","","Bursa","","","Turkey","europe","40.261878","28.923953","true","2022-09-05 12:05:22 PDT"
